mechanism,XH2_fuel,P_atm,T_K,1000/T,phi,diluent,label,IDT_s,IDT_ms
Reduced,0.0,43.4,1152.6315789473683,0.8675799086757991,0.35,N2,FigS2a,0.022976024764290417,22.97602476429042
Reduced,0.0,43.4,1173.6842105263158,0.852017937219731,0.35,N2,FigS2a,0.015189896144005045,15.189896144005045
Reduced,0.0,43.4,1194.7368421052631,0.8370044052863437,0.35,N2,FigS2a,0.010204275040456401,10.204275040456402
Reduced,0.0,43.4,1215.7894736842104,0.8225108225108226,0.35,N2,FigS2a,0.00696087689982073,6.96087689982073
Reduced,0.0,43.4,1236.842105263158,0.8085106382978723,0.35,N2,FigS2a,0.004818583713942081,4.818583713942081
Reduced,0.0,43.4,1257.8947368421054,0.7949790794979078,0.35,N2,FigS2a,0.003382805090005622,3.382805090005622
Reduced,0.0,43.4,1278.9473684210527,0.7818930041152263,0.35,N2,FigS2a,0.0024069894489088337,2.406989448908834
Reduced,0.0,43.4,1300.0,0.7692307692307693,0.35,N2,FigS2a,0.0017348219384196728,1.7348219384196728
Reduced,0.1,43.4,900.0,1.1111111111111112,0.35,N2,FigS2a,0.6756024581427168,675.6024581427168
Reduced,0.1,43.4,921.0526315789474,1.0857142857142856,0.35,N2,FigS2a,0.409251155526257,409.25115552625704
Reduced,0.1,43.4,942.1052631578948,1.0614525139664803,0.35,N2,FigS2a,0.25294073834868525,252.94073834868524
Reduced,0.1,43.4,963.1578947368421,1.0382513661202186,0.35,N2,FigS2a,0.15915150606210032,159.1515060621003
Reduced,0.1,43.4,984.2105263157895,1.0160427807486632,0.35,N2,FigS2a,0.10176731288192252,101.76731288192252
Reduced,0.1,43.4,1005.2631578947369,0.9947643979057591,0.35,N2,FigS2a,0.06604435672882027,66.04435672882026
Reduced,0.1,43.4,1026.3157894736842,0.9743589743589745,0.35,N2,FigS2a,0.043458213265814914,43.45821326581491
Reduced,0.1,43.4,1047.3684210526317,0.9547738693467336,0.35,N2,FigS2a,0.02897237524875838,28.97237524875838
Reduced,0.1,43.4,1068.421052631579,0.9359605911330049,0.35,N2,FigS2a,0.01955871867102978,19.55871867102978
