mechanism,XH2_fuel,P_atm,T_K,X_NH3,X_H2O,X_NO,X_N2O
Full,0.05,1.0,1260.0,1.2607783333547465e-07,0.26660512996249713,0.005170808858464999,2.401432010107961e-07
Full,0.05,1.0,1270.0,1.2407980147523273e-07,0.265985353530303,0.005224418137308421,2.4274239049362534e-07
Full,0.05,1.0,1280.0,1.2207244333985974e-07,0.2653626350579604,0.005278273799657538,2.4535040446915084e-07
Full,0.05,1.0,1290.0,1.203549656151623e-07,0.2647369686077561,0.005333111227559236,2.479955047657363e-07
Full,0.05,1.0,1300.0,1.1852310084739609e-07,0.2641084963693251,0.005387917053049878,2.506385681133411e-07
Full,0.3,1.0,800.0,0.16616169890423643,9.126649098675419e-05,4.6931573128203584e-08,2.6060672997878235e-07
Full,0.3,1.0,810.0,2.633717937614161e-07,0.29214681189685754,0.0036635785749721483,1.640644684204793e-07
Full,0.3,1.0,820.0,2.54492722875902e-07,0.2916751419697413,0.0036859571923366754,1.651303512392937e-07
Full,0.3,1.0,830.0,2.4605678675245956e-07,0.291198365393189,0.003709641670725838,1.6628915388032061e-07
Full,0.3,1.0,840.0,2.3803989111090897e-07,0.2907165327639008,0.0037346183062571875,1.6753550904001764e-07
Full,0.3,1.0,850.0,2.305931454252092e-07,0.29022961386239726,0.0037613318774980344,1.688856279135189e-07
Full,0.3,1.0,860.0,2.2317405852964733e-07,0.2897379123332657,0.0037883801010538394,1.7027119866412606e-07
Full,0.3,1.0,870.0,2.162838689899911e-07,0.28924123616141273,0.0038171256122018497,1.717515143446864e-07
Full,0.3,1.0,880.0,2.0973004259052837e-07,0.2887397271029959,0.0038470845380124664,1.7330129781417184e-07
Full,0.3,1.0,890.0,2.0349490462279737e-07,0.28823344591108024,0.0038782325959568695,1.7491675622970755e-07
Full,0.3,1.0,900.0,1.975618255152054e-07,0.28772245525124013,0.0039105441570674625,1.7659434551210858e-07
Full,0.3,1.0,910.0,1.9176652517943172e-07,0.28720688570358477,0.003943586415508787,1.7831374979962047e-07
Full,0.3,1.0,920.0,1.8654015049516942e-07,0.2866866055959092,0.003978549812897595,1.8012287113215735e-07
Full,0.3,1.0,930.0,1.814229354460488e-07,0.2861618812740417,0.004014187764258201,1.819677978319264e-07
Full,0.3,1.0,940.0,1.765504273225879e-07,0.28563271679799895,0.004050877275517246,1.8386280402475484e-07
Full,0.3,1.0,950.0,1.719102950469476e-07,0.2850991840744554,0.004088588863850131,1.858053277622741e-07
Full,0.3,1.0,960.0,1.674909095889029e-07,0.2845613568184639,0.004127292735274095,1.8779295918615977e-07
Full,0.3,1.0,970.0,1.6328129948678956e-07,0.28401931054633045,0.004166958902407277,1.8982342817863362e-07
Full,0.3,1.0,980.0,1.5927110916760026e-07,0.2834731225703776,0.004207557288192832,1.9189459292158353e-07
Full,0.3,1.0,990.0,1.5545056065552377e-07,0.2829228719950209,0.004249057818379204,1.9400442940447596e-07
Full,0.3,1.0,1000.0,1.5181041710459802e-07,0.282368639714308,0.004291430500446246,1.961510216585723e-07
Full,0.3,1.0,1010.0,1.4834163149878073e-07,0.28181045585190917,0.004334649586812683,1.9833275912826848e-07
Full,0.3,1.0,1020.0,1.4503560149712087e-07,0.28124833494153406,0.004378691096976353,2.0054819743058158e-07
Full,0.3,1.0,1030.0,1.4188448083534841e-07,0.28068233566877987,0.004423528157234302,2.0279581384333398e-07
Full,0.3,1.0,1040.0,1.3888085257527466e-07,0.28011251669557713,0.004469134392936074,2.0507417038395742e-07
Full,0.3,1.0,1050.0,1.3601770278820847e-07,0.2795389366146953,0.0045154839633153,2.0738190744969517e-07
Full,0.3,1.0,1060.0,1.3328839676109947e-07,0.27896165393072364,0.004562551589035009,2.0971773796220055e-07
Full,0.3,1.0,1070.0,1.30686654588724e-07,0.27838072704295813,0.0046103125680038645,2.120804417631692e-07
Full,0.3,1.0,1080.0,1.2820653117380758e-07,0.27779621422832956,0.004658742793186188,2.1446886077617118e-07
Full,0.3,1.0,1090.0,1.2584239556462737e-07,0.27720817362592615,0.004707818760402269,2.1688189436303298e-07
Full,0.3,1.0,1100.0,1.2358891237006608e-07,0.27661666322203726,0.004757517573929199,2.1931849514668387e-07
Full,0.3,1.0,1110.0,1.2153566269891436e-07,0.2760217117961256,0.004808067161553926,2.217869703992908e-07
Full,0.3,1.0,1120.0,1.1939393583114702e-07,0.2754234641062485,0.004858695206881543,2.2425845239885833e-07
Full,0.3,1.0,1130.0,1.1744309782636527e-07,0.27482189047852257,0.004910131277743651,2.2675994745126545e-07
Full,0.3,1.0,1140.0,1.1558419333414687e-07,0.2742170771914447,0.004962104687414534,2.2928128069391677e-07
Full,0.3,1.0,1150.0,1.1381312406863958e-07,0.2736090812662239,0.005014595552485182,2.3182161950066865e-07
Full,0.3,1.0,1160.0,1.1212599796425901e-07,0.2729979594942758,0.0050675845699755424,2.3438016578386173e-07
Full,0.3,1.0,1170.0,1.1051911733222183e-07,0.2723837684262192,0.005121053005990779,2.3695615370656764e-07
Full,0.3,1.0,1180.0,1.0898896787761897e-07,0.2717665643610738,0.005174982683615707,2.395488475946885e-07
Full,0.3,1.0,1190.0,1.0753220835779377e-07,0.2711464033358229,0.005229355969864231,2.4215754001526985e-07
Full,0.3,1.0,1200.0,1.0614566076286036e-07,0.27052334111536114,0.005284155761701502,2.447815499992071e-07
Full,0.3,1.0,1210.0,1.0482630192829097e-07,0.2698974331825572,0.005339365473646521,2.474202214866246e-07
Full,0.3,1.0,1220.0,1.035712535773788e-07,0.2692687347291511,0.005394969019819718,2.5007292169776395e-07
Full,0.3,1.0,1230.0,1.02302963742837e-07,0.26863731799221846,0.0054507652522494945,2.5273212359784484e-07
Full,0.3,1.0,1240.0,1.0124325856757593e-07,0.2680031855158662,0.005507295697460959,2.5541798606003075e-07
Full,0.3,1.0,1250.0,1.001652153040281e-07,0.2673664436019712,0.0055639890360195355,2.581091897190015e-07
Full,0.3,1.0,1260.0,9.914127575049489e-08,0.2667271288426662,0.005621016594062825,2.6081209888834815e-07
Full,0.3,1.0,1270.0,9.823896237449912e-08,0.2660852802139999,0.005678533502182595,2.63532514914431e-07
Full,0.3,1.0,1280.0,9.724677247390644e-08,0.2654409948626904,0.005736019600065208,2.662509123405007e-07
Full,0.3,1.0,1290.0,9.637199659410066e-08,0.2647942818181595,0.00579396868604862,2.689857964897727e-07
Full,0.3,1.0,1300.0,9.554288938684016e-08,0.2641452082661229,0.005852199239963678,2.7173034424600446e-07
Reduced,0.0,1.0,800.0,0.21881807438405904,1.530915841916074e-07,1.370972596786644e-08,2.7005372743773308e-15
Reduced,0.0,1.0,810.0,0.21881790429957043,2.748786793699796e-07,2.1931540181131027e-08,4.871309496654651e-15
Reduced,0.0,1.0,820.0,0.21881764350558483,4.791445085849952e-07,3.348676165853194e-08,8.58764155778532e-15
Reduced,0.0,1.0,830.0,0.21881724859135462,8.111317569459903e-07,4.911270541947599e-08,1.4864166836273106e-14
Reduced,0.0,1.0,840.0,0.2188166588031714,1.335698429497115e-06,6.958923478074819e-08,2.538136908502304e-14
Reduced,0.0,1.0,850.0,0.2188157901770367,2.1446447064265124e-06,9.575227256767839e-08,4.2966650398754145e-14
Reduced,0.0,1.0,860.0,0.21881452770576296,3.366909638717209e-06,1.285137510376384e-07,7.247271857677666e-14
Reduced,0.0,1.0,870.0,0.21881271479299386,5.182705339353562e-06,1.6888594813096526e-07,1.2241834555375414e-13
Reduced,0.0,1.0,880.0,0.21881013887401327,7.842954745231825e-06,2.1801268293247223e-07,2.0811721792275965e-13
Reduced,0.0,1.0,890.0,0.21880651159569262,1.1695758024828654e-05,2.772118668780948e-07,3.577512523001507e-13
Reduced,0.0,1.0,900.0,0.2188014414691302,1.7222079787980136e-05,3.4803075828722196e-07,6.243222191212309e-13
Reduced,0.0,1.0,910.0,0.21879439649243757,2.508365569146591e-05,4.323082800679244e-07,1.1093888313141424e-12
Reduced,0.0,1.0,920.0,0.21878465360151378,3.618770224901921e-05,5.322342983801156e-07,2.0104704111745823e-12
Reduced,0.0,1.0,930.0,0.21877123027537076,5.177586686648956e-05,6.504001556342029e-07,3.716069892461249e-12
Reduced,0.0,1.0,940.0,0.21875279046447427,7.354946239128896e-05,7.898467833936426e-07,6.996966835560272e-12
Reduced,0.0,1.0,950.0,0.21872751152642597,0.00010385034942486322,9.54128593836701e-07,1.3393809547524779e-11
Reduced,0.0,1.0,960.0,0.21869288968841338,0.00014592926345540736,1.1474183174198474e-06,2.6010138994826824e-11
Reduced,0.0,1.0,970.0,0.21864544529683289,0.00020435614901716546,1.3746840033158307e-06,5.1157848727097955e-11
Reduced,0.0,1.0,980.0,0.2185802578751408,0.000285671095766491,1.6419846368593942e-06,1.0183886337953272e-10
Reduced,0.0,1.0,990.0,0.21849019629245447,0.0003994648936790405,1.956970550277686e-06,2.0531480498157808e-10
Reduced,0.0,1.0,1000.0,0.21836456425879236,0.0005602792457137756,2.329768228909668e-06,4.202058029045891e-10
Reduced,0.0,1.0,1010.0,0.21818649875543403,0.000791242969372381,2.774718263495045e-06,8.773894130506418e-10
Reduced,0.0,1.0,1020.0,0.21792738889216545,0.0011318437659541627,3.314090016583209e-06,1.8868828093648365e-09
Reduced,0.0,1.0,1030.0,0.21753240661597809,0.001658011326220549,3.9879457411604545e-06,4.263300063170961e-09
Reduced,0.0,1.0,1040.0,0.21686951864141712,0.002552829489418286,4.888901755375652e-06,1.0649319157326617e-08
Reduced,0.0,1.0,1050.0,0.21532760547622595,0.004664029950695207,6.4336151279950435e-06,3.760977418950891e-08
Reduced,0.0,1.0,1060.0,3.0302951750241423e-07,0.2785898824723899,0.003946922612786631,2.6080333176795243e-07
Reduced,0.0,1.0,1070.0,2.9293374887644977e-07,0.2780488095681005,0.003998286476597436,2.602174444530526e-07
Reduced,0.0,1.0,1080.0,2.8334520895825985e-07,0.2775035118966225,0.004050133028671756,2.597874084285616e-07
Reduced,0.0,1.0,1090.0,2.74235926405337e-07,0.2769540468489881,0.004102457119938923,2.5950609446871065e-07
Reduced,0.0,1.0,1100.0,2.655796300687335e-07,0.2764004722022238,0.004155252829619681,2.593667119269722e-07
Reduced,0.0,1.0,1110.0,2.5735163888741675e-07,0.2758428460726703,0.004208513552097288,2.593627936440988e-07
Reduced,0.0,1.0,1120.0,2.495287590799434e-07,0.27528122687154355,0.004262232077973725,2.594881811678947e-07
Reduced,0.0,1.0,1130.0,2.420891881644027e-07,0.2747156732626415,0.004316400669347861,2.5973701034239817e-07
Reduced,0.0,1.0,1140.0,2.350124253638293e-07,0.2741462441221105,0.004371011129426967,2.6010369731227704e-07
Reduced,0.0,1.0,1150.0,2.2827918797970456e-07,0.27357299850017064,0.004426054866637296,2.6058292497751555e-07
Reduced,0.0,1.0,1160.0,2.218713333408475e-07,0.2729959955847074,0.004481522953445291,2.611696299241876e-07
Reduced,0.0,1.0,1170.0,2.1577178595834623e-07,0.2724152946666279,0.004537406180130933,2.618589898488765e-07
Reduced,0.0,1.0,1180.0,2.0996446953983664e-07,0.2718309551068918,0.00459369510377739,2.6264641148746406e-07
Reduced,0.0,1.0,1190.0,2.0443424353793315e-07,0.2712430363051284,0.004650380092754114,2.635275190528382e-07
Reduced,0.0,1.0,1200.0,1.991668439280527e-07,0.2706515976697494,0.0047074513669775435,2.644981431812219e-07
Reduced,0.0,1.0,1210.0,1.9414882793035694e-07,0.2700566985894781,0.004764899034234052,2.65554310382576e-07
Reduced,0.0,1.0,1220.0,1.8936752240892082e-07,0.2694583984062227,0.004822713122847055,2.666922329870903e-07
Reduced,0.0,1.0,1230.0,1.8481097569870444e-07,0.2688567563892151,0.0048808836109631715,2.679082995771048e-07
