mechanism,config,distance_cm,T_K,X_NH3,X_H2O,X_NO,X_N2O,X_OH,X_H2,X_O2,X_N2
Reduced,pure_NH3_350K,0.78125,2036.517792461241,4.080337258621172e-09,0.3020341486867237,0.0017346281188136638,6.717040014580642e-08,0.0024686373792796074,0.006030184059694902,0.0023940650385051512,0.6848111361809096
Reduced,pure_NH3_350K,0.8125,2037.6323023342225,4.09404930077048e-09,0.3021899600099102,0.0017332909653299717,6.636618128249358e-08,0.0024285598377894913,0.0059481391701421546,0.0023435345444572826,0.6848464818337483
Reduced,pure_NH3_350K,0.8750000000000001,2039.6374081392964,4.114662905201049e-09,0.30247277682876533,0.0017306842733135744,6.483563774756341e-08,0.0023554572255385705,0.005797590416476371,0.0022524822354636565,0.6849114876628132
Reduced,pure_NH3_350K,0.9375000000000001,2041.4125758101818,4.128428539122528e-09,0.3027250983454285,0.0017281518818876719,6.339019325342225e-08,0.0022898612518529814,0.005662085425353561,0.002171712476936319,0.684970045481133
Reduced,pure_NH3_350K,1.0000000000000002,2042.9935945609332,4.1366717400453666e-09,0.30295137798554694,0.0017256879924200733,6.202771082347545e-08,0.0022307365866999435,0.005539591420653566,0.002099667755521535,0.685023036405191
Reduced,pure_NH3_350K,1.0625000000000002,2044.4091801679147,4.140484417040715e-09,0.30315523771316544,0.001723287361011243,6.074554928320769e-08,0.002177233150293519,0.005428428844526426,0.002035087765727765,0.685071185219768
Reduced,pure_NH3_350K,1.1250000000000002,2045.6826205512666,4.140759039080727e-09,0.3033396505280368,0.0017209452586534702,5.954046587600119e-08,0.0021286449429839174,0.005327199038910267,0.00197694488934098,0.6851150943741141
Reduced,pure_NH3_350K,1.1875,2046.8329714575366,4.138223397707243e-09,0.3035070769137553,0.0017186574383110792,5.840886717841853e-08,0.002084381254040151,0.005234727953244291,0.001924394491077926,0.6851552693790539
Reduced,pure_NH3_350K,1.25,2047.875933458214,4.133469445365305e-09,0.30365956696316887,0.0017164201133930304,5.734702367538943e-08,0.0020439450837689967,0.005150022845498661,0.0018767379350249779,0.6851921381445054
Reduced,pure_NH3_350K,1.3125000000000002,2048.8244953460994,4.12697620021493e-09,0.303798837092239,0.0017142299523972466,5.635123777047429e-08,0.0020069168129741577,0.005072238709988133,0.0018333952620753376,0.6852260658871542
Reduced,pure_NH3_350K,1.375,2049.6893988393513,4.1191274858362315e-09,0.3039263274762445,0.001712084096339044,5.5417982166934293e-08,0.0019729419722365766,0.005000651983398329,0.001793885352023537,0.6852573667043583
Reduced,pure_NH3_350K,1.4375,2050.4794579800823,4.110225992518447e-09,0.3040432442667139,0.001709980208850125,5.4544026926192355e-08,0.001941722320567118,0.004934639781683733,0.001757812312297413,0.6852863125346805
Reduced,pure_NH3_350K,1.5,2051.2017499568055,4.100510063246763e-09,0.3041505887162774,0.0017079165740754665,5.37266123652813e-08,0.001913009171914019,0.0048736637451031245,0.001724858306379103,0.6853131399248805
Reduced,pure_NH3_350K,1.625,2052.4591616073662,4.079292766700835e-09,0.30433892431600906,0.0017039072904989697,5.2258553129419955e-08,0.0018625409645630956,0.004765453322562809,0.0016676059161465,0.6853610547959123
Reduced,pure_NH3_350K,1.7500000000000002,2053.5374160299866,4.057326666683313e-09,0.3045011169217477,0.0017000172241932808,5.0959224440910565e-08,0.001818999606132957,0.004671675077916113,0.001618623428131831,0.6854027628816607
Reduced,pure_NH3_350K,1.8750000000000002,2054.4670964326724,4.035394899654533e-09,0.3046414803837084,0.001696233901822878,4.980914340005208e-08,0.0017812744580028813,0.0045900203921233635,0.0015765218041046871,0.6854392752840127
Reduced,pure_NH3_350K,2.0,2055.270714979055,4.013945525845213e-09,0.30476329103357097,0.0016925484774863784,4.879234983552587e-08,0.0017485193142085338,0.004518658058753328,0.0015402740515878949,0.6854714042100488
Reduced,pure_NH3_350K,2.25,2056.5446003612897,3.973480757804816e-09,0.304958226265219,0.00168545986389831,4.7130893959183805e-08,0.0016961662375428602,0.004402497813884773,0.0014833426733230795,0.6855244895292891
Reduced,pure_NH3_350K,2.5,2057.5446831971267,3.937543375057642e-09,0.305111545480848,0.0016786227124036262,4.5794974234047326e-08,0.001655108735000587,0.004310634662991458,0.0014391512327110321,0.6855669457544598
Reduced,pure_NH3_350K,2.75,2058.338740212438,3.906363534545563e-09,0.3052332621059871,0.0016719978859409052,4.471695695726958e-08,0.001622675377864815,0.00423744563692255,0.001404561649463093,0.6856012169588834
